,0
0,0.8
1,0.84
2,0.92
3,0.76
4,0.88
5,0.84
6,0.8
7,0.88
8,0.88
9,0.84
10,0.92
11,0.76
12,0.84
13,0.92
14,0.76
15,0.92
16,1.0
17,0.88
18,0.8
19,0.8
20,0.96
21,0.88
22,0.96
23,0.92
24,0.88
25,0.96
26,0.84
27,0.92
28,0.88
29,0.8
30,0.84
31,0.84
32,0.88
33,0.92
34,0.8
35,1.0
36,0.76
37,0.92
38,0.84
39,0.88
40,0.8
41,0.92
42,0.76
43,0.84
44,0.92
45,0.84
46,0.84
47,0.84
48,0.8
49,0.88
50,0.76
51,0.88
52,0.76
53,0.96
54,0.8
55,0.88
56,0.76
57,0.84
58,0.8
59,0.76
60,0.88
61,0.92
62,0.88
63,0.8
64,0.84
65,0.92
66,0.96
67,0.96
68,0.84
69,0.92
70,0.88
71,0.84
72,0.92
73,0.88
74,0.8
75,0.84
76,0.8
77,0.88
78,0.88
79,0.8
80,1.0
81,0.92
82,0.92
83,0.8
84,0.96
85,0.92
86,0.88
87,0.88
88,0.88
89,0.76
90,0.8
91,0.92
92,0.88
93,0.96
94,0.84
95,0.88
96,1.0
97,0.84
98,0.88
99,0.76
100,0.96
101,0.92
102,0.84
103,0.76
104,0.96
105,0.8
106,0.92
107,0.96
108,0.88
109,0.84
110,0.92
111,0.92
112,0.92
113,0.84
114,0.84
115,0.8
116,0.92
117,0.96
118,0.88
119,0.88
120,0.88
121,0.88
122,0.92
123,0.88
124,0.92
125,0.84
126,0.8
127,0.84
128,0.96
129,0.84
130,0.84
131,0.92
132,0.88
133,0.96
134,0.96
135,0.88
136,0.8
137,0.84
138,1.0
139,0.96
140,0.84
141,0.92
142,1.0
143,0.8
144,0.88
145,0.84
146,0.88
147,0.92
148,0.84
149,0.96
150,0.92
151,0.76
152,0.88
153,0.92
154,0.8
155,0.88
156,0.92
157,0.84
158,0.88
159,0.92
160,0.88
161,1.0
162,0.92
163,0.76
164,0.96
165,0.96
166,0.84
167,0.92
168,0.92
169,0.72
170,0.92
171,0.84
172,0.76
173,0.88
174,0.96
175,0.96
176,0.88
177,0.84
178,0.84
179,0.72
180,0.92
181,0.84
182,0.8
183,1.0
184,0.92
185,0.92
186,0.92
187,1.0
188,0.96
189,0.72
190,0.88
191,0.96
192,0.96
193,0.68
194,0.88
195,1.0
196,0.84
197,0.84
198,0.8
199,0.92
200,0.96
